Name,Country,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
FAN Zhendong,CHN,1,1,1,1,1,3,2,2,2,1,1,1,3,2,2,2,1,2,1,1,2,2,1,1,1,1
XU Xin,CHN,6,5,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,2,1,2,1,1,2,2,2
MA Long,CHN,2,6,7,6,6,11,11,12,12,12,11,5,5,5,3,3,3,4,3,3,3,3,3,3,3,3
LIN Gaoyuan,CHN,5,3,4,3,5,4,4,4,3,3,3,2,2,2,4,4,4,3,4,4,4,4,5,5,4
HARIMOTO Tomokazu,JPN,10,8,6,8,8,6,5,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5
CALDERANO Hugo,BRA,11,10,9,10,11,9,6,6,6,6,7,8,8,7,6,6,6,6,6,7,7,7,6,6,6
LIN Yun-Ju,TPE,54,52,36,43,41,40,28,28,26,26,21,21,20,16,13,10,10,10,7,6,6,6,7,7,7
FALCK Mattias,SWE,20,18,29,20,19,12,12,13,13,15,16,11,9,9,7,9,9,9,8,8,8,9,9,8,9,8
LIANG Jingkun,CHN,82,103,62,64,80,80,36,20,16,13,9,6,7,6,9,8,8,7,8,8,9,9,9,8,8,9
BOLL Timo,GER,4,2,3,4,3,3,3,5,5,5,5,7,6,8,8,7,7,10,10,11,10,10,8,7,7,10,10
JANG Woojin,KOR,34,30,22,21,20,21,15,11,11,11,10,9,10,10,16,14,14,14,13,17,16,16,18,18,11
OVTCHAROV Dimitrij,GER,3,4,5,5,4,3,9,14,14,14,12,15,12,11,11,12,12,12,11,11,10,11,11,11,12
JEOUNG Youngsik,KOR,42,37,26,26,25,22,22,23,22,22,19,19,20,23,27,23,21,18,13,13,13,14,14,13
WANG Chuqin,CHN,97,92,93,95,105,103,85,83,94,85,92,74,107,71,26,25,22,15,16,12,17,17,12,12,14
PITCHFORD Liam,ENG,49,44,48,31,23,24,16,16,17,17,15,14,15,15,12,18,18,19,22,22,23,22,15,15,15
