Name,Country,2017_win,2017_loss,2018_win,2018_loss,2019_win,2019_loss,2020_win,2020_loss
FAN Zhendong,CHN,57,11,72,5,87,18,25,5
XU Xin,CHN,39,7,60,9,120,14,26,4
MA Long,CHN,32,4,36,7,50,10,22,5
LIN Gaoyuan,CHN,44,10,47,14,97,25,12,7
HARIMOTO Tomokazu,JPN,40,15,59,31,73,35,11,6
CALDERANO Hugo,BRA,30,11,28,17,38,15,8,5
LIN Yun-Ju,TPE,63,24,90,27,88,35,9,8
FALCK Mattias,SWE,24,19,38,28,35,28,4,6
LIANG Jingkun,CHN,20,7,41,7,81,22,6,5
BOLL Timo,GER,36,8,31,9,51,15,7,4
JANG Woojin,KOR,53,22,70,19,50,33,13,5
OVTCHAROV Dimitrij,GER,41,3,24,14,37,19,9,7
JEOUNG Youngsik,KOR,16,9,64,22,63,23,5,7
WANG Chuqin,CHN,52,4,51,13,74,20,9,3
PITCHFORD Liam,ENG,22,11,53,20,25,25,14,7

